epoch,accuracy,loss,val_accuracy,val_loss
0,0.653779149055481,0.8909486532211304,0.6113917231559753,1.0789299011230469
1,0.6617032289505005,0.8718932867050171,0.6059919595718384,1.0748484134674072
2,0.6634012460708618,0.8616310954093933,0.5894443392753601,1.160521388053894
3,0.6726750135421753,0.833142876625061,0.5998954772949219,1.0935856103897095
4,0.678639829158783,0.8174943923950195,0.6117401123046875,1.0642720460891724
5,0.6647945046424866,0.8582208752632141,0.5816059708595276,1.153676152229309
6,0.684299886226654,0.8048056960105896,0.612436830997467,1.0505443811416626
7,0.6895681023597717,0.7856239676475525,0.6164431571960449,1.0598194599151611
8,0.6966213583946228,0.7705943584442139,0.6099982857704163,1.0736504793167114
9,0.6943138241767883,0.7725954055786133,0.6284619569778442,1.0549066066741943
10,0.7001480460166931,0.7631405591964722,0.5955408215522766,1.1266876459121704
11,0.7027168273925781,0.7495764493942261,0.6209719777107239,1.0503252744674683
12,0.7083333134651184,0.746288001537323,0.6141787171363831,1.1114826202392578
13,0.7151253819465637,0.7199220061302185,0.6148754358291626,1.1746004819869995
14,0.7160397171974182,0.7210232019424438,0.6270684599876404,1.0672422647476196
15,0.7201323509216309,0.7019040584564209,0.624107301235199,1.0740200281143188
16,0.7189132571220398,0.7156730890274048,0.6274168491363525,1.082798957824707
