epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.23907175660133362,1.8872959613800049,1e-04,0.3133600354194641,1.703809380531311
1,0.349791020154953,1.678528904914856,1e-04,0.3738024830818176,1.6121267080307007
2,0.40121036767959595,1.5468659400939941,1e-04,0.43807700276374817,1.4472007751464844
3,0.42903169989585876,1.471569538116455,1e-04,0.39766591787338257,1.5208122730255127
4,0.4561564028263092,1.3926472663879395,1e-04,0.44730883836746216,1.4177911281585693
5,0.479885071516037,1.3280094861984253,1e-04,0.480229914188385,1.3487977981567383
6,0.4976488947868347,1.2794687747955322,1e-04,0.5154154300689697,1.2587062120437622
7,0.5074015855789185,1.2405329942703247,1e-04,0.5060093998908997,1.275056004524231
8,0.5307819843292236,1.173730731010437,1e-04,0.5084480047225952,1.3008567094802856
9,0.5416666865348816,1.1563215255737305,1e-04,0.5145444869995117,1.2609262466430664
