epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.29009926319122314,12.207853317260742,1e-04,0.24647274613380432,12.44419002532959
1,0.3722135126590729,9.581920623779297,1e-04,0.3933112621307373,8.688348770141602
2,0.42424243688583374,7.37499475479126,1e-04,0.4366835057735443,6.551433086395264
3,0.4682166576385498,5.616358280181885,1e-04,0.44225743412971497,5.135738849639893
4,0.5041362047195435,4.307388782501221,1e-04,0.5093189477920532,3.8137505054473877
5,0.5417101979255676,3.3649017810821533,1e-04,0.5309179425239563,3.079082727432251
6,0.5687043070793152,2.7033655643463135,1e-04,0.5445044636726379,2.550145387649536
7,0.6037530303001404,2.2257018089294434,1e-04,0.5560007095336914,2.203788995742798
8,0.6378874778747559,1.8763816356658936,1e-04,0.547639787197113,2.005467176437378
9,0.6790316700935364,1.5953422784805298,1e-04,0.5769029855728149,1.7962232828140259
